velocity_m_s,Qtranslation1_N,Qtranslation2_N,Qrelative1_N,Qrelative2_N
-0.0014383312689552792,0.0,0.0,0.0,0.0
-0.0013903868933234367,0.0,0.0,0.0,0.0
-0.001342442517691594,0.0,0.0,0.0,0.0
-0.0012944981420597514,0.0,0.0,0.0,0.0
-0.0012465537664279086,0.0,0.0,0.0,0.0
-0.001198609390796066,0.0,0.0,0.0,0.0
-0.0011506650151642233,0.0,0.0,0.0,0.0
-0.0011027206395323808,0.0,0.0,0.0,0.0
-0.001054776263900538,0.0,0.0,0.0,0.0
-0.0010068318882686955,0.0,0.0,0.0,0.0
-0.0009588875126368528,0.0,0.0,0.0,0.0
-0.0009109431370050102,0.0,0.0,0.0,0.0
-0.0008629987613731675,0.0,0.0,0.0,0.0
-0.0008150543857413249,0.0,0.0,0.0,0.0
-0.0007671100101094823,0.0,0.0,0.0,0.0
-0.0007191656344776396,0.0,0.0,0.0,0.0
-0.000671221258845797,0.0,0.0,0.0,0.0
-0.0006232768832139543,0.0,0.0,0.0,0.0
-0.0005753325075821117,0.0,0.0,0.0,0.0
-0.000527388131950269,0.0,0.0,0.0,0.0
-0.0004794437563184264,0.0,0.0,0.0,0.0
-0.0004314993806865838,0.0,0.0,0.0,0.0
-0.0003835550050547411,0.0,0.0,0.0,0.0
-0.0003356106294228985,0.0,0.0,0.0,0.0
-0.00028766625379105583,0.0,0.0,0.0,0.0
-0.0002397218781592132,0.0,0.0,0.0,0.0
-0.00019177750252737056,0.0,0.0,0.0,0.0
-0.00014383312689552792,0.0,0.0,0.0,0.0
-9.588875126368528e-5,0.0,0.0,0.0,0.0
-4.794437563184264e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.794437563184264e-5,0.0,0.0,0.0,0.0
9.588875126368528e-5,0.0,0.0,0.0,0.0
0.00014383312689552792,0.0,0.0,0.0,0.0
0.00019177750252737056,0.0,0.0,0.0,0.0
0.0002397218781592132,0.0,0.0,0.0,0.0
0.00028766625379105583,0.0,0.0,0.0,0.0
0.0003356106294228985,0.0,0.0,0.0,0.0
0.0003835550050547411,0.0,0.0,0.0,0.0
0.0004314993806865838,0.0,0.0,0.0,0.0
0.0004794437563184264,0.0,0.0,0.0,0.0
0.000527388131950269,0.0,0.0,0.0,0.0
0.0005753325075821117,0.0,0.0,0.0,0.0
0.0006232768832139543,0.0,0.0,0.0,0.0
0.000671221258845797,0.0,0.0,0.0,0.0
0.0007191656344776396,0.0,0.0,0.0,0.0
0.0007671100101094823,0.0,0.0,0.0,0.0
0.0008150543857413249,0.0,0.0,0.0,0.0
0.0008629987613731675,0.0,0.0,0.0,0.0
0.0009109431370050102,0.0,0.0,0.0,0.0
0.0009588875126368528,0.0,0.0,0.0,0.0
0.0010068318882686955,0.0,0.0,0.0,0.0
0.001054776263900538,0.0,0.0,0.0,0.0
0.0011027206395323808,0.0,0.0,0.0,0.0
0.0011506650151642233,0.0,0.0,0.0,0.0
0.001198609390796066,0.0,0.0,0.0,0.0
0.0012465537664279086,0.0,0.0,0.0,0.0
0.0012944981420597514,0.0,0.0,0.0,0.0
0.001342442517691594,0.0,0.0,0.0,0.0
0.0013903868933234367,0.0,0.0,0.0,0.0
0.0014383312689552792,0.0,0.0,0.0,0.0
