velocity_m_s,Qtranslation1_N,Qtranslation2_N,Qrelative1_N,Qrelative2_N
-0.0014846631654801862,0.0,0.0,0.0,0.0
-0.0014351743932975133,0.0,0.0,0.0,0.0
-0.0013856856211148405,0.0,0.0,0.0,0.0
-0.0013361968489321676,0.0,0.0,0.0,0.0
-0.0012867080767494947,0.0,0.0,0.0,0.0
-0.0012372193045668218,0.0,0.0,0.0,0.0
-0.001187730532384149,0.0,0.0,0.0,0.0
-0.0011382417602014761,0.0,0.0,0.0,0.0
-0.0010887529880188032,0.0,0.0,0.0,0.0
-0.0010392642158361302,0.0,0.0,0.0,0.0
-0.0009897754436534575,0.0,0.0,0.0,0.0
-0.0009402866714707846,0.0,0.0,0.0,0.0
-0.0008907978992881117,0.0,0.0,0.0,0.0
-0.0008413091271054388,0.0,0.0,0.0,0.0
-0.0007918203549227659,0.0,0.0,0.0,0.0
-0.0007423315827400931,0.0,0.0,0.0,0.0
-0.0006928428105574203,0.0,0.0,0.0,0.0
-0.0006433540383747473,0.0,0.0,0.0,0.0
-0.0005938652661920745,0.0,0.0,0.0,0.0
-0.0005443764940094016,0.0,0.0,0.0,0.0
-0.0004948877218267288,0.0,0.0,0.0,0.0
-0.00044539894964405584,0.0,0.0,0.0,0.0
-0.00039591017746138296,0.0,0.0,0.0,0.0
-0.00034642140527871014,0.0,0.0,0.0,0.0
-0.00029693263309603726,0.0,0.0,0.0,0.0
-0.0002474438609133644,0.0,0.0,0.0,0.0
-0.00019795508873069148,0.0,0.0,0.0,0.0
-0.00014846631654801863,0.0,0.0,0.0,0.0
-9.897754436534574e-5,0.0,0.0,0.0,0.0
-4.948877218267287e-5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.948877218267287e-5,0.0,0.0,0.0,0.0
9.897754436534574e-5,0.0,0.0,0.0,0.0
0.00014846631654801863,0.0,0.0,0.0,0.0
0.00019795508873069148,0.0,0.0,0.0,0.0
0.0002474438609133644,0.0,0.0,0.0,0.0
0.00029693263309603726,0.0,0.0,0.0,0.0
0.00034642140527871014,0.0,0.0,0.0,0.0
0.00039591017746138296,0.0,0.0,0.0,0.0
0.00044539894964405584,0.0,0.0,0.0,0.0
0.0004948877218267288,0.0,0.0,0.0,0.0
0.0005443764940094016,0.0,0.0,0.0,0.0
0.0005938652661920745,0.0,0.0,0.0,0.0
0.0006433540383747473,0.0,0.0,0.0,0.0
0.0006928428105574203,0.0,0.0,0.0,0.0
0.0007423315827400931,0.0,0.0,0.0,0.0
0.0007918203549227659,0.0,0.0,0.0,0.0
0.0008413091271054388,0.0,0.0,0.0,0.0
0.0008907978992881117,0.0,0.0,0.0,0.0
0.0009402866714707846,0.0,0.0,0.0,0.0
0.0009897754436534575,0.0,0.0,0.0,0.0
0.0010392642158361302,0.0,0.0,0.0,0.0
0.0010887529880188032,0.0,0.0,0.0,0.0
0.0011382417602014761,0.0,0.0,0.0,0.0
0.001187730532384149,0.0,0.0,0.0,0.0
0.0012372193045668218,0.0,0.0,0.0,0.0
0.0012867080767494947,0.0,0.0,0.0,0.0
0.0013361968489321676,0.0,0.0,0.0,0.0
0.0013856856211148405,0.0,0.0,0.0,0.0
0.0014351743932975133,0.0,0.0,0.0,0.0
0.0014846631654801862,0.0,0.0,0.0,0.0
